"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"37000","5","5112","56","0","2017","A","",1277,15713,1824957455,401498285,2998712,2234,116146,"",1.95,1.38,1.15,1.09,1.00,0.83,0.83,"",204,19.0,887,6.0,138898107,8.2,38485482,10.6,-1694305,-36.1,47,2.1,2419,2.1
"37001","5","5112","76","0","2017","A","",6,4,285602,102336,1347,1569,81601,"",0.73,0.03,0.02,0.02,0.04,0.72,0.72,"",0,0.0,1,33.3,49659,21.0,-11449,-10.1,160,13.5,-133,-7.8,-6878,-7.8
"37009","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",0.66,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37013","5","5112","76","0","2017","A","N",2,0,0,0,0,0,0,"N",0.70,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37019","5","5112","76","0","2017","A","N",7,0,0,0,0,0,0,"N",1.04,0,0,0,0,0,0,"N",1,16.7,0,0,0,0,0,0,0,0,0,0,0,0
"37021","5","5112","76","0","2017","A","",36,127,10217768,3576005,49681,1553,80773,"",1.64,0.37,0.25,0.34,0.69,0.68,0.68,"",1,2.9,14,12.4,369132,3.7,596211,20.0,-9615,-16.2,-121,-7.2,-6255,-7.2
"37023","5","5112","76","0","2017","A","N",2,0,0,0,0,0,0,"N",0.57,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37025","5","5112","76","0","2017","A","",18,35,3950540,1036671,11973,2155,112072,"",1.58,0.18,0.17,0.17,0.25,0.94,0.94,"",1,5.9,7,25.0,1074582,37.4,243427,30.7,-1830,-13.3,174,8.8,9053,8.8
"37027","5","5112","76","0","2017","A","N",4,0,0,0,0,0,0,"N",1.22,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"37031","5","5112","76","0","2017","A","N",4,0,0,0,0,0,0,"N",0.76,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0
"37035","5","5112","76","0","2017","A","N",7,0,0,0,0,0,0,"N",0.67,0,0,0,0,0,0,"N",-1,-12.5,0,0,0,0,0,0,0,0,0,0,0,0
"37037","5","5112","76","0","2017","A","N",5,0,0,0,0,0,0,"N",1.42,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37049","5","5112","76","0","2017","A","N",2,0,0,0,0,0,0,"N",0.36,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37051","5","5112","76","0","2017","A","N",3,0,0,0,0,0,0,"N",0.20,0,0,0,0,0,0,"N",-2,-40.0,0,0,0,0,0,0,0,0,0,0,0,0
"37053","5","5112","76","0","2017","A","N",2,0,0,0,0,0,0,"N",1.17,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37055","5","5112","76","0","2017","A","N",4,0,0,0,0,0,0,"N",0.87,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"37057","5","5112","76","0","2017","A","N",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0
"37059","5","5112","76","0","2017","A","N",3,0,0,0,0,0,0,"N",1.40,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"37061","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",0.39,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37063","5","5112","76","0","2017","A","",81,1238,113644917,34126378,310068,1766,91816,"",4.06,2.37,1.14,2.15,2.72,0.48,0.48,"",5,6.6,-292,-19.1,-52327298,-31.5,-5940583,-14.8,-251095,-44.7,-321,-15.4,-16698,-15.4
"37067","5","5112","76","0","2017","A","",23,113,9509595,2918526,39365,1624,84467,"",1.05,0.23,0.13,0.21,0.34,0.57,0.57,"",2,9.5,-6,-5.0,-386784,-3.9,17214,0.6,-18865,-32.4,22,1.4,1188,1.4
"37069","5","5112","76","0","2017","A","N",3,0,0,0,0,0,0,"N",1.11,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"37071","5","5112","76","0","2017","A","",6,18,1481673,500854,4428,1620,84266,"",0.58,0.10,0.07,0.09,0.07,0.75,0.75,"",3,100.0,15,500.0,1254308,551.7,411654,461.5,3536,396.4,-20,-1.2,-996,-1.2
"37077","5","5112","76","0","2017","A","N",2,0,0,0,0,0,0,"N",0.89,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"37081","5","5112","76","0","2017","A","",30,67,6951467,2273786,25128,2008,104403,"",0.88,0.09,0.07,0.09,0.13,0.77,0.77,"",4,15.4,2,3.1,1517197,27.9,283568,14.2,-8596,-25.5,402,25.0,20906,25.0
"37085","5","5112","76","0","2017","A","N",3,0,0,0,0,0,0,"N",0.71,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37087","5","5112","76","0","2017","A","",4,3,477063,92400,2111,2752,143119,"",1.11,0.07,0.10,0.07,0.22,1.41,1.41,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"37089","5","5112","76","0","2017","A","N",11,0,0,0,0,0,0,"N",1.52,0,0,0,0,0,0,"N",2,22.2,0,0,0,0,0,0,0,0,0,0,0,0
"37097","5","5112","76","0","2017","A","",19,32,4476402,1143802,11905,2669,138803,"",1.51,0.17,0.18,0.17,0.21,1.03,1.03,"N",3,18.8,0,0,0,0,0,0,0,0,0,0,0,0
"37101","5","5112","76","0","2017","A","",6,50,5550269,1518077,25457,2153,111938,"",0.72,0.40,0.40,0.41,1.01,1.01,1.01,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0
"37105","5","5112","76","0","2017","A","N",2,0,0,0,0,0,0,"N",0.60,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37107","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37109","5","5112","76","0","2017","A","N",3,0,0,0,0,0,0,"N",0.71,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37113","5","5112","76","0","2017","A","N",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37115","5","5112","76","0","2017","A","N",4,0,0,0,0,0,0,"N",4.23,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37119","5","5112","76","0","2017","A","",193,2939,360321491,75932742,738959,2357,122583,"",2.15,1.65,1.10,1.09,1.30,0.67,0.67,"",21,12.2,343,13.2,31894668,9.7,11780387,18.4,-236838,-24.3,-76,-3.1,-3934,-3.1
"37121","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",1.09,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37125","5","5112","76","0","2017","A","N",9,0,0,0,0,0,0,"N",1.47,0,0,0,0,0,0,"N",2,28.6,0,0,0,0,0,0,0,0,0,0,0,0
"37127","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",0.19,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37129","5","5112","76","0","2017","A","",32,534,53270349,14187702,178350,1917,99695,"",1.65,1.83,1.44,1.56,2.53,0.78,0.78,"",3,10.3,158,42.0,19399152,57.3,4599674,48.0,26876,17.7,185,10.7,9612,10.7
"37133","5","5112","76","0","2017","A","N",3,0,0,0,0,0,0,"N",0.41,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"37135","5","5112","76","0","2017","A","",28,213,28181072,5670696,47737,2545,132357,"",2.95,1.15,0.98,1.60,2.12,0.86,0.86,"",5,21.7,19,9.8,7021622,33.2,261611,4.8,-32636,-40.6,451,21.5,23475,21.6
"37137","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",1.45,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37139","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37141","5","5112","76","0","2017","A","N",4,0,0,0,0,0,0,"N",1.38,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37147","5","5112","76","0","2017","A","N",6,0,0,0,0,0,0,"N",0.66,0,0,0,0,0,0,"N",2,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"37151","5","5112","76","0","2017","A","N",3,0,0,0,0,0,0,"N",0.49,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37153","5","5112","76","0","2017","A","N",2,0,0,0,0,0,0,"N",0.96,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"37157","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",0.25,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"37159","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",0.15,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"37161","5","5112","76","0","2017","A","N",2,0,0,0,0,0,0,"N",0.65,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37167","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"37171","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",0.23,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37173","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",0.97,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37179","5","5112","76","0","2017","A","",20,44,4878915,1306028,14383,2128,110675,"",1.55,0.27,0.24,0.23,0.31,0.90,0.90,"",5,33.3,6,15.8,1447128,42.2,305134,30.5,3708,34.7,376,21.5,19566,21.5
"37183","5","5112","76","0","2017","A","",282,9188,1086347756,225711311,1173553,2274,118230,"",3.45,6.44,4.78,4.64,3.11,0.74,0.74,"",38,15.6,369,4.2,89511671,9.0,18112343,8.7,-1162409,-49.8,100,4.6,5196,4.6
"37189","5","5112","76","0","2017","A","N",2,0,0,0,0,0,0,"N",0.49,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37193","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",0.32,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37195","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"37197","5","5112","76","0","2017","A","N",1,0,0,0,0,0,0,"N",0.62,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37199","5","5112","76","0","2017","A","N",2,0,0,0,0,0,0,"N",2.30,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"37999","5","5112","76","0","2017","A","",378,833,112156721,24359245,279263,2589,134615,"",9.02,2.84,1.64,1.59,1.69,0.58,0.58,"",102,37.0,224,36.8,32388144,40.6,6540152,36.7,-1864,-0.7,70,2.8,3614,2.8
